,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
75,75,39.250750100000005,2024-04-16 08:19:35.389106,2024-04-16 08:32:34.047950,0 days 00:12:58.658844,tanh,32,0.3,0.0023558412772685237,0.99,0.995,0.3390608871894795,-0.6336228919247857,5.0,1,512,small,128,0.9688370759078585,PRUNED
76,76,3.9464029,2024-04-16 08:20:20.040482,2024-04-16 08:32:18.359957,0 days 00:11:58.319475,tanh,32,0.3,0.00040382985236822887,0.99,0.995,0.15430572814704901,-3.576181374633211,0.9,1,1024,tiny,128,0.839993780896666,PRUNED
77,77,42.8471306,2024-04-16 08:20:41.761721,2024-04-16 08:33:02.619598,0 days 00:12:20.857877,tanh,32,0.3,0.02310721567420337,0.9,0.995,0.007653050696453816,-3.7569357418178146,0.7,1,512,small,-1,0.7708675858473615,PRUNED
78,78,10.5057672,2024-04-16 08:21:39.748228,2024-04-16 08:59:13.433837,0 days 00:37:33.685609,tanh,32,0.2,0.0069762788067422804,0.99,0.99,0.0032089627043948685,-0.7603163097004604,1.0,20,512,small,256,0.9708205011248792,PRUNED
79,79,28.9487873,2024-04-16 08:25:17.367607,2024-04-16 08:48:51.258821,0 days 00:23:33.891214,relu,32,0.2,0.00010399669350326835,0.98,0.995,0.19321169656408785,-2.238392827496097,0.5,10,512,small,256,0.6842510685409713,PRUNED
80,80,31.428007100000002,2024-04-16 08:30:28.819096,2024-04-16 08:42:10.519742,0 days 00:11:41.700646,tanh,32,0.4,0.00013664731302437118,0.9,0.98,0.21991328985983263,-3.9984530317152602,0.9,1,512,small,128,0.937386561567047,PRUNED
81,81,49.1147007,2024-04-16 08:32:18.360955,2024-04-16 08:57:00.681725,0 days 00:24:42.320770,relu,32,0.3,0.008744296595363634,0.92,0.99,0.10623654542155954,-1.5473603708720771,1.0,10,256,small,256,0.6314076801202226,PRUNED
82,82,-23.5750186,2024-04-16 08:32:34.049945,2024-04-16 08:44:11.745467,0 days 00:11:37.695522,tanh,32,0.3,0.06352305043137395,0.9,0.995,0.3388981681786277,-3.6467419989706524,0.9,1,256,small,128,0.9873599244933735,PRUNED
83,83,,2024-04-16 08:33:02.620595,2024-04-16 08:34:07.672112,0 days 00:01:05.051517,tanh,32,0.4,0.0016573824059289953,0.98,0.99,0.5463151437997522,-1.4629145904065972,1.0,5,2048,medium,256,0.2450692102872534,PRUNED
84,84,,2024-04-16 08:34:07.673110,2024-04-16 08:35:44.083358,0 days 00:01:36.410248,relu,32,0.3,0.022023108129826763,0.9,0.95,0.6248697934233923,-3.5201848074129356,0.9,1,512,small,128,0.8382666065522546,PRUNED
85,85,17.460195499999998,2024-04-16 08:35:44.084355,2024-04-16 08:52:32.529738,0 days 00:16:48.445383,tanh,32,0.4,0.007823878433330399,0.98,0.99,0.08247216737437861,0.540776426276569,5.0,5,2048,small,256,0.5049412686094363,PRUNED
86,86,3.4396383999999998,2024-04-16 08:41:46.002745,2024-04-16 08:54:03.053405,0 days 00:12:17.050660,relu,32,0.2,0.000534820621316363,0.98,0.995,0.022339121958961167,-2.1165693606392053,5.0,1,64,small,256,0.720420897061872,PRUNED
87,87,-0.8032143000000003,2024-04-16 08:42:10.520739,2024-04-16 08:54:49.593935,0 days 00:12:39.073196,tanh,32,0.2,0.0034925769591893532,0.98,0.995,0.002977670872957176,-2.5262361461644702,2.0,1,512,small,256,0.7837801854760932,PRUNED
88,88,64.08738819999999,2024-04-16 08:44:11.746465,2024-04-16 08:55:22.418861,0 days 00:11:10.672396,tanh,512,0.4,0.0022279194348107855,0.98,0.999,0.1596971440824176,0.9805785026354257,2.0,1,2048,tiny,-1,0.1634977770025321,COMPLETE
89,89,,2024-04-16 08:48:51.260816,2024-04-16 08:50:38.558300,0 days 00:01:47.297484,tanh,32,0.3,0.008210124736229688,0.98,0.9,0.728209265648944,-0.9783327906405633,1.0,1,512,small,256,0.502674072528218,PRUNED
90,90,31.64756520000001,2024-04-16 08:50:38.559297,2024-04-16 09:02:18.880384,0 days 00:11:40.321087,tanh,256,0.2,0.0006244635563236843,0.98,0.995,0.7676993748487458,-1.1816130070235196,0.5,1,64,tiny,256,0.8466056801437922,PRUNED
91,91,11.146709899999998,2024-04-16 08:52:32.530735,2024-04-16 09:10:30.035205,0 days 00:17:57.504470,tanh,8,0.3,0.08631379637762013,0.9,0.9999,0.09356800922610468,-2.5141487170382413,0.9,1,512,small,8,0.9139030202138437,PRUNED
92,92,6.119880599999999,2024-04-16 08:54:03.054402,2024-04-16 09:07:44.003655,0 days 00:13:40.949253,tanh,32,0.2,0.01633247806544499,0.98,0.999,0.06392230815232562,-0.07027687483929729,2.0,1,2048,small,256,0.06241361442914435,PRUNED
93,93,62.695684299999996,2024-04-16 08:54:49.594932,2024-04-16 09:09:34.128022,0 days 00:14:44.533090,relu,32,0.4,0.0009330398826104312,0.98,0.999,0.012911796460115688,-0.6434560810715786,2.0,1,2048,small,256,0.07533253982958962,COMPLETE
94,94,,2024-04-16 08:55:22.419858,2024-04-16 09:04:01.059976,0 days 00:08:38.640118,tanh,512,0.3,0.07716835973522046,0.9,0.98,0.8866213213613473,-3.5383953900686573,0.6,1,512,small,64,0.9093677524775545,PRUNED
95,95,97.1445667,2024-04-16 08:57:00.682723,2024-04-16 09:12:43.841048,0 days 00:15:43.158325,tanh,16,0.4,0.0010438981490218553,0.98,0.9,0.018463642582058366,-0.8011637433759049,2.0,1,2048,small,32,0.28441194695406696,COMPLETE
96,96,2.6067412000000005,2024-04-16 08:59:13.434834,2024-04-16 09:12:33.086787,0 days 00:13:19.651953,tanh,32,0.4,0.02326850415402661,0.98,0.999,0.026641214736359088,-0.057417110064395815,2.0,1,2048,small,256,0.5905899355893468,PRUNED
97,97,45.163698499999995,2024-04-16 09:02:18.881381,2024-04-16 09:14:11.203406,0 days 00:11:52.322025,tanh,32,0.2,0.013173746745109524,0.9,0.99,0.00766483883867808,-0.970559038759921,1.0,1,128,medium,16,0.5499959603802173,PRUNED
98,98,35.0745429,2024-04-16 09:04:01.062068,2024-04-16 09:13:59.879611,0 days 00:09:58.817543,tanh,512,0.4,0.00015904472717729907,0.8,0.98,0.008401158861970173,0.43049685161680196,2.0,1,2048,tiny,-1,0.16537033614570718,PRUNED
99,99,-5.7558827999999975,2024-04-16 09:07:44.004652,2024-04-16 09:14:34.109705,0 days 00:06:50.105053,tanh,512,0.4,1.8662545045389002e-05,0.98,0.999,0.01773613024039444,0.9400165648341503,2.0,1,1024,tiny,-1,0.1512794054709239,PRUNED
